book_num,chap_num,term_str,n,tfidf
1,1,perhaps,1,0.014602559243744139
1,1,permanent,1,0.011974502506430165
1,1,personal,1,0.012581307057218081
1,1,persuaded,1,0.04121861822004017
1,1,pious,1,0.04983930787521258
1,1,place,1,0.003960617402045666
1,1,placed,1,0.013891678552434027
1,1,pleased,1,0.032597928564867755
1,1,pledges,1,0.0275551483862371
1,1,policy,2,0.015077053757174845
1,1,possible,1,0.01321924310414719
1,1,power,1,0.0027752421973048476
1,1,powers,1,0.006353151673846605
1,1,pray,1,0.02397723890969534
1,1,predilection,1,0.04983930787521258
1,1,preeminence,1,0.04983930787521258
1,1,prejudices,1,0.021201996712390495
1,1,presage,1,0.04121861822004017
1,1,present,5,0.02990934794285863
1,1,preservation,1,0.015356549254522926
1,1,president,1,0.006353151673846605
1,1,presides,1,0.04121861822004017
1,1,principles,1,0.006353151673846605
1,1,private,2,0.025162614114436162
1,1,proceedings,1,0.04121861822004017
1,1,produced,1,0.025637972340233236
1,1,promoted,1,0.022512368207606444
1,1,proof,1,0.022512368207606444
1,1,properly,1,0.025637972340233236
1,1,propitious,1,0.04121861822004017
1,1,prospect,1,0.022512368207606444
1,1,prosperity,1,0.006735859599350514
1,1,providential,2,0.08243723644008034
1,1,provision,1,0.018934458731064686
1,1,public,6,0.023763704412273996
1,1,pure,1,0.029822686367562908
1,1,purposes,1,0.008396593029888409
1,1,pursuit,1,0.02397723890969534
1,1,qualifications,2,0.07235167608281902
1,1,question,1,0.01031376907589227
1,1,race,1,0.01321924310414719
1,1,received,1,0.021201996712390495
1,1,recommend,1,0.020016621507649674
1,1,recommendation,1,0.029822686367562908
1,1,recommendations,1,0.025637972340233236
1,1,rectitude,1,0.04983930787521258
1,1,refer,1,0.029822686367562908
1,1,reflections,1,0.04983930787521258
1,1,regard,1,0.011395931852477262
1,1,remain,1,0.013891678552434027
1,1,remembrance,1,0.04121861822004017
1,1,rendered,2,0.059645372735125816
1,1,renounce,1,0.04983930787521258
1,1,repaired,1,0.04983930787521258
1,1,representatives,2,0.034034565370121644
1,1,republican,1,0.016159216533759835
1,1,require,1,0.011395931852477262
1,1,required,1,0.014602559243744139
1,1,resolution,1,0.025637972340233236
1,1,resorting,1,0.04121861822004017
1,1,respect,1,0.011395931852477262
1,1,resulted,1,0.032597928564867755
1,1,retreat,2,0.059645372735125816
1,1,return,1,0.014602559243744139
1,1,reverence,1,0.02397723890969534
1,1,revolution,1,0.012581307057218081
1,1,rewards,1,0.020016621507649674
1,1,right,1,0.004275495643641477
1,1,rights,1,0.002495746699956767
1,1,rules,2,0.035877930954889094
1,1,sacred,1,0.014602559243744139
1,1,safely,1,0.025637972340233236
1,1,satisfaction,1,0.017938965477444547
1,1,scrutiny,1,0.04121861822004017
1,1,security,1,0.007960161365492133
1,1,seem,1,0.016159216533759835
1,1,seems,1,0.020016621507649674
1,1,selected,1,0.02397723890969534
1,1,senate,1,0.022512368207606444
1,1,sensibility,1,0.03617583804140951
1,1,sentiments,2,0.04502473641521289
1,1,separate,1,0.018934458731064686
1,1,service,1,0.006353151673846605
1,1,shall,3,0.004309910415761671
1,1,share,2,0.021686168232200802
1,1,should,1,0.0033538128512577525
1,1,side,1,0.014602559243744139
1,1,since,4,0.03015410751434969
1,1,smiles,1,0.04121861822004017
1,1,so,3,0.0006846261558928752
1,1,solid,1,0.03617583804140951
