term_str,x,y,n,dfidf,pos_group
control,7.685758,-17.14829,48,28.437588093748378,NN
controversies,8.460798,-15.150145,15,20.818033540269386,NN
conviction,-2.7935834,5.459479,18,28.501755416394552,NN
cooperation,0.28014672,-4.521653,24,28.796246828663442,NN
correct,-6.379348,11.829243,11,24.59431618637297,JJ
cost,10.171746,-18.29873,24,27.636067080538773,NN
could,-8.761479,27.57567,68,25.642065497271314,MD
councils,2.9013965,-18.404425,11,23.502912408741125,NN
counsel,5.004071,-3.063485,19,24.59431618637297,NN
countries,0.70970356,4.394116,34,28.501755416394552,NN
country,12.561497,-27.023859,297,6.875176187496751,NN
countrymen,-11.016628,5.2838817,53,28.437588093748378,NN
courage,8.054282,-16.190802,32,29.188632372745946,NN
course,2.3219557,3.1270006,56,26.777982833515537,NN
court,6.9153013,-17.300344,14,23.502912408741125,NN
courts,10.159658,-12.245399,11,17.297158093186486,NN
covenant,5.0082073,-16.361744,11,15.125438854098638,NN
create,1.4694271,4.079665,16,27.051959939986375,VB
created,2.2766337,5.2182674,21,28.501755416394552,VB
credit,5.0307117,-17.246756,24,28.501755416394552,NN
crime,-4.5521526,13.999507,13,23.502912408741125,NN
crisis,-6.7420726,5.443171,14,26.35676655364204,NN
cultivate,3.0985816,-10.226605,12,24.59431618637297,VB
currency,5.5933914,-16.919653,23,25.541209043760983,NN
danger,2.3130236,-2.4111037,39,29.135211801540407,NN
dangerous,-1.7209918,12.701903,16,25.541209043760983,JJ
dangers,-2.73556,4.0085883,30,28.501755416394552,NN
dare,-7.64038,25.796957,10,20.818033540269386,VB
dark,-1.3598185,-5.9023476,12,24.59431618637297,JJ
day,10.979268,-15.434975,74,24.319864607484806,NN
days,0.1658601,5.4134655,22,27.636067080538773,NN
debt,3.6358986,-9.4593115,24,28.117036768742114,NN
decent,1.7539036,-17.28245,10,22.250877708197276,JJ
decision,-8.747919,14.117444,13,26.35676655364204,NN
decisions,-2.5200284,-6.140334,14,25.541209043760983,NN
declaration,9.883474,-25.09255,15,28.117036768742114,NN
declare,-6.47957,12.849568,12,25.541209043760983,VB
declared,-2.4483209,12.324851,16,27.051959939986375,VB
dedication,1.3097018,-7.1221557,12,24.59431618637297,NN
deep,-2.8334837,4.5693035,21,28.796246828663442,JJ
deeply,-3.669537,9.809536,24,29.169888105663883,RB
defend,10.894626,-16.960556,23,28.796246828663442,VB
defense,8.230028,-21.3085,46,29.188632372745946,NN
degree,3.9244285,-15.175876,32,29.135211801540407,NN
demand,0.026262695,-1.9367328,25,28.796246828663442,NN
demands,6.643565,-11.407201,23,27.636067080538773,NN
democracy,2.0608068,-3.3259897,58,28.501755416394552,NN
democratic,-2.8250568,3.134376,19,24.59431618637297,JJ
deny,-9.102275,13.283995,10,22.250877708197276,VB
department,9.172779,-22.836176,24,25.541209043760983,NN
departments,10.920771,-21.699118,27,28.501755416394552,NN
depend,-7.898024,8.939802,19,28.796246828663442,VB
depends,-6.452321,10.13299,12,25.541209043760983,VB
depression,10.602052,-22.981956,14,25.541209043760983,NN
desire,-6.24621,18.06405,43,29.082418087521972,NN
despotism,-6.6669273,-4.772975,10,20.818033540269386,NN
destinies,7.1045375,-22.098164,11,23.502912408741125,NN
destiny,-2.5721924,-2.4100952,31,29.135211801540407,NN
destroy,-5.821536,13.602928,20,27.636067080538773,VB
destruction,8.731766,-17.264345,23,27.636067080538773,NN
determination,3.208778,-2.9251332,22,28.117036768742114,NN
determined,-4.0871625,17.653683,27,28.796246828663442,VB
development,6.3316317,-19.226713,20,26.35676655364204,NN
devoted,7.510924,-17.632748,14,23.502912408741125,VB
devotion,7.171203,-17.118713,26,29.135211801540407,NN
did,-8.491588,27.39004,44,28.713533107284082,VB
difference,-1.3053252,3.71739,24,28.501755416394552,NN
differences,-1.4622393,1.83267,24,28.117036768742114,NN
different,4.0492706,-19.918402,30,29.169888105663883,JJ
difficult,-7.0394855,20.08638,18,28.117036768742114,JJ
difficulties,-0.43768975,1.2548639,21,28.117036768742114,NN
difficulty,7.4653745,0.5349897,13,20.818033540269386,NN
dignity,3.9137833,-12.721244,25,28.117036768742114,NN
direct,-2.015394,-0.9332278,18,27.636067080538773,JJ
directed,-6.9167147,20.495947,11,24.59431618637297,VB
direction,8.486084,-11.657164,21,27.636067080538773,NN
directly,-7.294361,-5.723169,14,25.541209043760983,RB
discharge,8.439951,-18.105215,31,29.188632372745946,NN
discipline,-8.2485075,7.429681,10,20.818033540269386,NN
discussion,-1.143675,0.24139495,15,25.541209043760983,NN
disposition,-3.9812665,12.09036,13,26.35676655364204,NN
distant,2.074991,-9.656758,16,27.636067080538773,JJ
distinction,-5.781409,4.524815,10,23.502912408741125,NN
distinguished,-6.3968587,0.7785573,23,28.117036768742114,VB
diversity,4.625896,-14.299563,10,23.502912408741125,NN
divide,9.7404375,-9.250822,10,23.502912408741125,VB
divided,-3.9890263,-1.8055469,14,25.541209043760983,VB
